Question,SQL Query
List all product lines.,SELECT * FROM productlines;
Find the product name and buy price of all products.,"SELECT productName, buyPrice FROM products;"
Show all employees' first and last names.,"SELECT firstName, lastName FROM employees;"
Find the total number of orders made by each customer.,"SELECT customerNumber, COUNT(orderNumber) AS totalOrders FROM orders GROUP BY customerNumber;"
"List the customers who have a credit limit higher than $50,000.","SELECT customerName, creditLimit FROM customers WHERE creditLimit > 50000;"
Display the employees who do not report to anyone.,"SELECT firstName, lastName FROM employees WHERE reportsTo IS NULL;"
Find all orders placed by customers in the 'USA'.,"SELECT o.orderNumber, c.customerName FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber WHERE c.country = 'USA';"
Get the list of products that have 'Classic Cars' in the product line.,SELECT productName FROM products WHERE productLine = 'Classic Cars';
Show the details of the office located in 'San Francisco'.,SELECT * FROM offices WHERE city = 'San Francisco';
Find the total payment received from customer number 103.,SELECT SUM(amount) AS totalPayments FROM payments WHERE customerNumber = 103;
List all orders with their associated customer's name and the employee who handled the sale.,"SELECT o.orderNumber, c.customerName, e.firstName, e.lastName FROM orders o JOIN customers c ON o.customerNumber = c.customerNumber JOIN employees e ON c.salesRepEmployeeNumber = e.employeeNumber;"
Find the employees who work in the 'Boston' office.,"SELECT firstName, lastName FROM employees WHERE officeCode = (SELECT officeCode FROM offices WHERE city = 'Boston');"
Show the number of products in each product line.,"SELECT productLine, COUNT(productCode) AS numProducts FROM products GROUP BY productLine;"
Find the average credit limit of customers by country.,"SELECT country, AVG(creditLimit) AS avgCreditLimit FROM customers GROUP BY country;"
Display the names of all customers who have not made any orders.,SELECT customerName FROM customers WHERE customerNumber NOT IN (SELECT customerNumber FROM orders);
List all products that have less than 100 units in stock.,"SELECT productName, quantityInStock FROM products WHERE quantityInStock < 100;"
Show all payments made in the year 2023.,SELECT * FROM payments WHERE YEAR(paymentDate) = 2023;
Get the names of all employees who have the title 'Sales Rep'.,"SELECT firstName, lastName FROM employees WHERE jobTitle = 'Sales Rep';"
Find the most expensive product in each product line.,"SELECT productLine, productName, MAX(buyPrice) AS maxPrice FROM products GROUP BY productLine;"
List all customers served by employee number 1370.,SELECT customerName FROM customers WHERE salesRepEmployeeNumber = 1370;
Find the total number of products ordered in each order.,"SELECT orderNumber, SUM(quantityOrdered) AS totalProducts FROM orderdetails GROUP BY orderNumber;"
Show all products with a price above $50 and below $100.,"SELECT productName, buyPrice FROM products WHERE buyPrice BETWEEN 50 AND 100;"
Find the total amount paid by each customer.,"SELECT customerNumber, SUM(amount) AS totalPaid FROM payments GROUP BY customerNumber;"
List all employees who work in offices located in the 'USA'.,"SELECT firstName, lastName FROM employees WHERE officeCode IN (SELECT officeCode FROM offices WHERE country = 'USA');"
Display the name and contact information of customers who have placed more than 5 orders.,"SELECT c.customerName, c.phone FROM customers c WHERE c.customerNumber IN (SELECT customerNumber FROM orders GROUP BY customerNumber HAVING COUNT(orderNumber) > 5);"
Get the list of all products that belong to the 'Ships' product line and are priced above $100.,SELECT productName FROM products WHERE productLine = 'Ships' AND buyPrice > 100;
Find the employee who manages the most number of customers.,"SELECT e.firstName, e.lastName FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber GROUP BY e.employeeNumber ORDER BY COUNT(c.customerNumber) DESC LIMIT 1;"
